run ----        objective        ---- violation
--- ---- ----------------------- ---- ---------
  1 ---- -0.29787165038230001279 ----         0
  2 ---- -0.24054675470052228059 ----         0
  3 ---- -0.32980568757873052199 ----         0
  4 ---- -0.31997403767368864935 ----         0
  5 ----  -0.3027517299145328078 ----         0
  6 ---- -0.25138052923997133981 ----         0
  7 ----  -0.3027517299145328078 ----         0
  8 ----    -0.28077114647313689 ----         0
  9 ---- -0.32980568757873052199 ----         0
 10 ---- -0.28213310639199323804 ----         0
 11 ---- -0.27465874336461953975 ----         0
 12 ---- -0.28213310639199323804 ----         0
 13 ---- -0.32980568757873052199 ----         0
 14 ---- -0.29614449348481031166 ----         0
 15 ---- -0.29787165038230001279 ----         0
 16 ---- -0.28213310639199323804 ----         0
 17 ---- -0.29787165038230001279 ----         0
 18 ---- -0.29250965190897382229 ----         0
 19 ----  -0.3027517299145328078 ----         0
 20 ---- -0.31155397020592884294 ----         0
 21 ---- -0.33972240419201354955 ----         0
 22 ----  -0.3027517299145328078 ----         0
 23 ---- -0.25101612482721807895 ----         0
 24 ---- -0.31848980394346199096 ----         0
 25 ---- -0.27465874336461953975 ----         0
 26 ---- -0.33177866286232199355 ----         0
 27 ---- -0.33177866286232199355 ----         0
 28 ---- -0.25101612482721807895 ----         0
 29 ---- -0.24054675470052228059 ----         0
 30 ---- -0.32980568757873052199 ----         0
 31 ---- -0.29787165038230001279 ----         0
 32 ---- -0.33177866286232199355 ----         0
 33 ---- -0.27465874336461953975 ----         0
 34 ---- -0.33388724614273773694 ----         0
 35 ---- -0.31997403767368864935 ----         0
 36 ----  -0.3027517299145328078 ----         0
 37 ---- -0.32980568757873052199 ----         0
 38 ---- -0.25101612482721807895 ----         0
 39 ---- -0.31848980394346199096 ----         0
 40 ---- -0.32980568757873052199 ----         0
 41 ----    -0.28077114647313689 ----         0
 42 ---- -0.29787165038230001279 ----         0
 43 ---- -0.28213310639199323804 ----         0
 44 ---- -0.33972240419201354955 ----         0
 45 ---- -0.25101612482721807895 ----         0
 46 ---- -0.29787165038230001279 ----         0
 47 ---- -0.27465874336461953975 ----         0
 48 ---- -0.32980568757873052199 ----         0
 49 ----  -0.3027517299145328078 ----         0
 50 ----  -0.3027517299145328078 ----         0
